gene,custom,cosmic,clinvar-all-cancer,FM-combined,ucsf500v2,civic,broad-target,msk-impact,umich-mioncoseq
TNFRSF17,,X,,X,,,,,
TNFRSF1A,,,X,,,,,,
TNFRSF8,,,X,,,,,,
TNFSF11,,,X,,,,,,
TOP1,,X,,X,X,X,,X,X
TOP2A,,,,X,X,X,,,X
TOP2B,,,,,,,,,X
TOPORS,,,X,,,,,,
TP53,,X,X,X,X,X,X,X,X
TP63,,X,X,X,,,,X,
TPM3,,X,,X,,,,,
TPM4,,X,,X,,,,,
TPMT,,,X,,,,,,X
TPR,,X,,,,,,,
TRA,,X,,,,,,,
TRAF3,,,,,X,,,,
TRAF7,,X,,,X,,,X,
TRB,,X,,,,,,,
TRD,,X,,,,,,,
TRDN,,,X,,,,,,
TRG,,,,X,,,,,
TRIM24,,X,,X,,,,,
TRIM27,,X,,,,,,,
TRIM28,,,X,,X,,,,
TRIM33,,X,,,,,,,
TRIM37,,,X,,,,,,
TRIML1,,,X,,,,,,
TRIP11,,X,,X,,,,,
TRIP12,,,X,,,,,,
TRPC1,,,X,,,,,,
TRPC4,,,X,,,,,,
TRPM3,,,X,,,,,,
TRRAP,,X,X,,,,,,
TSC1,,X,X,X,X,X,X,X,X
TSC2,,X,X,X,X,X,X,X,X
TSG101,,,X,,,,,,
TSHR,,X,X,X,X,,,X,
TSHZ2,,,,,X,,,,
TSHZ3,,,X,,X,,,,
TSLP,,,,,X,,,,
TSNAXIP1,,,X,,,,,,
TSPAN5,,,X,,,,,,
TSPAN8,,,X,,,,,,
TTC37,,,X,,,,,,
TTF1,,,,,,X,,,
TTK,,,X,,,,,,
TTL,,X,,X,,,,,
TTYH1,,,,,X,,,,
TUBB3,,,X,,,X,,,
TUSC3,,,,X,,,,,
TXNRD1,,,,,,,,,X
TYK2,,,,X,X,,,,
TYMS,,,,,,X,,,X
TYR,,,X,,,,,,
TYRP1,,,X,,,,,,
U2AF1,,X,X,X,X,X,,X,
UBR5,,X,,,,,,,
UGT1A,,,,,,X,,,
UGT1A1,,,,,,X,,,X
ULK2,,,X,,,,,,
UMODL1,,,X,,,,,,
UNC13D,,,X,,,,,,
UNC79,,,X,,,,,,
URB2,,,X,,,,,,
UROD,,,X,,,,,,
USF2,,,X,,,,,,
USH2A,,,X,,,,,,
USP28,,,X,,,,,,
USP48,,,X,,,,,,
USP6,,X,,X,X,,,,
USP7,,,,,X,,,,
USP8,,X,X,,,,,,
UVRAG,,,X,,,,,,
VANGL1,,,X,,,,,,
VCAN,,,X,,,,,,
VEGFA,,,,X,X,X,,,
VHL,,X,X,X,X,X,X,X,X
VKORC1L1,,,X,,,,,,
VMP1,,,X,,,,,,
VNN2,,,X,,,,,,
VPS37A,,,,,,X,,,
VTCN1,,,,,,,,X,
VTI1A,,X,,,,,,,
WAS,,X,X,,,,,,
WDFY3,,,X,,,,,,
WDR49,,,X,,,,,,
WEE1,,,,,,X,,,
WHSC1,,X,,,,,,,
WHSC1L1,,X,,,,,,,
WIF1,,X,,,,,,,
WISP3,,,,X,X,,,,
WRAP53,,,X,,,,,,
WRN,,X,X,,X,,,,
WT1,,X,X,X,X,X,X,X,X
WWC3,,,X,,,,,,
WWOX,,,X,,,,,,
WWTR1,,X,,,,X,,,
XBP1,,,,X,X,,,,
XBP1P1,,,,X,,,,,
XIAP,,,X,,,,,X,
XPA,,X,X,,,,,,
XPC,,X,X,,,,,,
XPO1,,X,X,X,X,,X,X,
XRCC1,,,X,,,X,,,
XRCC2,,,X,,,,,,
XRCC3,,,X,,,,,,
YAP1,,,,,X,X,,X,
YEATS2,,,X,,,,,,
YES1,,,,,,,,X,
YPEL5,,,,X,,,,,
YTHDC2,,,X,,,,,,
YWHAE,,X,,,X,,,,
YY1AP1,,,,X,,,,,
ZBTB16,,X,,X,,,,,
ZBTB2,,,,X,,,,,
ZBTB20,,,,,X,,,,
ZCCHC8,,X,,,,,,,
ZDBF2,,,X,,,,,,
ZDHHC8,,,X,,,,,,
ZEB1,,,,,,X,,,
ZFHX3,,X,X,,X,,,,
ZFHX4,,,,,X,,,,
ZKSCAN1,,,X,,,,,,
ZMAT3,,,X,,,,,,
ZMYM2,,,,X,,,,,
ZMYM3,,,,,X,,,,
ZNF100,,,X,,,,,,
ZNF136,,,X,,,,,,
ZNF184,,,X,,,,,,
ZNF198,,X,,,,,,,
ZNF217,,,,X,X,,,,
ZNF224,,,X,,,,,,
ZNF278,,X,,,,,,,
ZNF287,,,X,,,,,,
ZNF304,,,X,,,,,,
ZNF331,,X,,,,,,,
ZNF384,,X,,X,,,,,
ZNF419,,,X,,,,,,
ZNF420,,,X,,,,,,
ZNF431,,,X,,,,,,
ZNF473,,,X,,,,,,
ZNF48,,,X,,,,,,
ZNF521,,X,,X,,,,,
ZNF534,,,X,,,,,,
ZNF560,,,X,,,,,,
ZNF703,,,,X,X,,,,
ZNF717,,,X,,,,,,
ZNF772,,,X,,,,,,
ZNF776,,,X,,,,,,
ZNRF3,,,,,,,X,,
ZP4,,,X,,,,,,
ZRSR2,,X,,,X,,,,
ZSCAN2,,,X,,,,,,
GLIS2,X,,,,,,,,
