gene,custom,cosmic,clinvar-all-cancer,FM-combined,ucsf500v2,civic,broad-target,msk-impact,umich-mioncoseq
ETV6,,X,X,X,X,X,X,X,
EWSR1,,X,,X,X,X,X,X,
EXOC2,,,X,,,,,,
EXOSC6,,,,X,,,,,
EXT1,,X,X,,,,,,
EXT2,,X,X,,,,,,
EYA1,,,X,,,,,,
EZH1,,,,,X,,,,
EZH2,,X,X,X,X,X,X,X,X
EZR,,X,,,,,,,
F2,,,X,,,,,,
F5,,,X,,,,,,
FAF1,,,,X,,,,,
FAH,,,X,,,,,,
FAM131B,,X,,,,,,,
FAM13C,,,X,,,,,,
FAM160A2,,,X,,,,,,
FAM189A2,,,X,,,,,,
FAM46C,,X,,X,X,,,X,
FAM83C,,,X,,,,,,
FANCA,,X,X,X,X,,,X,
FANCB,,,X,,,,,,
FANCC,,X,X,X,X,X,,X,
FANCD2,,X,X,X,,,,,
FANCE,,X,X,X,X,,,,
FANCF,,X,X,X,X,,,,
FANCG,,X,X,X,X,,,,
FANCI,,,X,,,,,,
FANCL,,,X,X,X,,,,
FANCM,,,X,,,,,,
FAS,,X,X,X,,,,,
FASLG,,,X,,,,,,
FAT1,,X,,X,X,,,X,
FAT3,,,,,X,,,,
FAT4,,X,,,,,,,
FAXC,,,X,,,,,,
FBN2,,,X,,,,,,
FBXL5,,,X,,,,,,
FBXO11,,X,,X,,,,,
FBXO18,,,X,,,,,,
FBXO31,,,,X,,,,,
FBXW7,,X,X,X,X,X,X,X,X
FCGR2A,,,,,,X,,,
FCGR2B,,X,,X,,X,,,
FCGR3A,,,,,,X,,,
FCN1,,,X,,,,,,
FCN3,,,X,,,,,,
FCRL4,,X,,X,,,,,
FES,,X,,,,,,,
FEV,,X,,X,,,,,
FGD2,,,X,,,,,,
FGF10,,,,X,X,,,,
FGF13,,,,,,X,,,
FGF14,,,,X,X,,,,
FGF19,,,,X,X,,,X,
FGF2,,,,,,X,,,
FGF23,,,,X,X,,,,
FGF3,,,,X,X,X,,X,
FGF4,,,,X,X,,,X,
FGF6,,,,X,X,,,,
FGFR1,,X,X,X,X,X,X,X,X
FGFR1OP,,X,,X,,,,,
FGFR2,,X,X,X,X,X,X,X,X
FGFR3,,X,X,X,X,X,X,X,X
FGFR4,,X,X,X,X,,,X,X
FH,,X,X,X,X,,,X,
FHIT,,X,,X,,,,,X
FIBP,,,X,,,,,,
FIP1L1,,X,,,,,,,
FKBP9,,,,,,,,,X
FLCN,,X,X,X,X,,X,X,X
FLI1,,X,X,X,,X,,,
FLT1,,,X,X,X,,,X,
FLT3,,X,X,X,X,X,X,X,X
FLT4,,X,X,X,X,,,X,
FLVCR2,,,X,,,,,,
FLYWCH1,,,,X,,,,,
FN1,,,X,,,,,,
FNBP1,,X,,X,,,,,
FNTB,,,,,,X,,,
FOLR1,,,X,,,,,,
FOLR2,,,,,,,,,X
FOS,,,,,,X,,,
FOXA1,,X,,,X,,,X,
FOXL2,,X,X,X,X,X,,X,
FOXM1,X,,,,,,,,
FOXO1,,X,,X,X,,,,
FOXO3,,X,,X,,,,,
FOXO4,,X,,X,,,,,
FOXP1,,X,,X,X,X,,X,
FOXP3,,,,,,X,,,
FPR1,,,X,,,,,,
FREM2,,,X,,,,,,
FRS2,,,,X,X,,,,
FSTL3,,X,,X,,,,,
FUBP1,,X,X,X,X,,,X,
FUS,,X,X,X,X,,,,
FYN,,,,,X,,,,
G6PC,,,X,,,,,,
G6PC3,,,X,,,,,,
GAB2,,,,,X,,,,
GABRA6,,,,X,,,,,
GABRB2,,,X,,,,,,
GABRG1,,,X,,,,,,
GADD45A,,,,,,X,,,
GADD45B,,,,X,,,,,
GALNT12,,,X,,,,,,
GAPDHS,,,X,,,,,,
GART,,,,,,,,,X
GAS6,,,,,,X,,,
GAS7,,X,,X,,,,,
GATA1,,X,X,X,X,,,X,
GATA2,,X,X,X,X,X,,X,
GATA3,,X,X,X,X,,,X,
GATA4,,,,X,,,,,
GATA6,,,,X,,,,,
GBA,,,X,,,,,,
GDF10,,,X,,,,,,
GEN1,,,X,,,,,,
GFI1,,,X,,,,,,
GFRA3,,,X,,,,,,
GID4,,,,X,,,,,
GJB2,,,X,,,,,,
GLI1,,,X,X,X,X,,,
GLI2,,,,,X,,,,
GMPS,,X,,X,,,,,
GNA11,,X,X,X,X,X,X,X,
GNA13,,,,X,X,,,,
GNAI2,,,X,,,,,,
GNAQ,,X,X,X,X,X,X,X,X
GNAS,,X,X,X,X,X,X,X,X
GNB1,,,X,,,,,,
GNGT1,,,X,,,,,,
GNPAT,,,X,,,,,,
GNPTAB,,,X,,,,,,
GOLGA5,,X,,,,,,,
GOPC,,X,,,,,,,
GPC3,,X,X,,X,,,,
GPC6,,,X,,,,,,
GPHN,,X,,X,,,,,
GPR26,,,X,,,,,,
GPR55,,,X,,,,,,
GPR82,,,X,,,,,,
GREM1,,,X,,,,,X,
GRID1,,,X,,,,,,
GRIN1,,,X,,,,,,
GRIN2A,,X,,X,X,,,X,
GRM3,,,,X,X,,,,
GRM8,,,X,,,,,,
GRWD1,,,X,,,,,,
GSK3B,,,,X,X,,,X,
GSN,,,X,,,,,,
GSTP1,,,,,,X,,,
GTF2H5,,,X,,,,,,
GUCY1A3,,,X,,,,,,
GUSB,,,X,,,,,,
H19,,,X,,,,,,
H3F3A,,X,X,X,X,,,,
H3F3B,,X,,,X,,,,
H3F3C,,,,,,,,X,
HAMP,,,X,,,,,,
HAVCR2,,,,,,X,,,
HAX1,,,X,,,,,,
HDAC1,,,,,,,,,X
HDAC4,,,X,,X,,,,
HDAC7,,,,X,,,,,
HDAC9,,,,,X,,,,
HEBP2,,,X,,,,,,
HEPACAM2,,,X,,,,,,
HERC2,,,X,,,,,,
HERPUD1,,X,,X,,,,,
HEY1,,X,,X,X,,,,
HFE2,,,X,,,,,,
HGF,,,,X,X,X,,X,
HHIPL1,,,X,,,,,,
HIF1A,,X,X,,X,X,,,
HIP1,,X,,X,,,,,
HIPK4,,,X,,,,,,
HIRA,,,X,,,,,,
HIST1H1C,,,,X,,,,X,
HIST1H1D,,,,X,,,,,
HIST1H1E,,,,X,,,,,
HIST1H2AC,,,,X,,,,,
HIST1H2BC,,,,X,,,,,
HIST1H2BD,,,,,,,,X,
HIST1H2BJ,,,,X,,,,,
HIST1H2BK,,,,X,,,,,
HIST1H2BO,,,,X,,,,,
HIST1H3B,,X,,X,X,,,X,
HIST1H3I,,,X,,,,,,
HIST1H4I,,X,,X,,,,,
HLA-A,,X,,,,,,,
HLA-C,,,,,,X,,,
HLA-DRA,,,,,,X,,,
HLF,,X,X,X,,,,,
HMBS,,,X,,,,,,
HMCN1,,,X,,,,,,
HMGA1,,X,,X,,,,,
HMGA2,,X,,X,X,,,,
HMGN2P46,,X,,,,,,,
HMOX1,,,,,,X,,,
HNF1A,,X,X,X,X,,,X,
HNF1B,,,X,,,,,,
HNMT,,,X,,,,,,
HNRNPA2B1,,X,,,,,,,
HOOK3,,X,,,,,,,
HOXA11,,X,,X,,,,,
HOXA13,,X,,X,,,,,
HOXA3,,,,X,,,,,
HOXA9,,X,,X,,,,,
HOXB13,,,X,,X,X,,,
HOXC11,,X,,X,,,,,
